alpha,mean_tau,median_tau,std_tau,mean_tau_frac,median_tau_frac,p25_tau_frac,p75_tau_frac,n_abstained,seed,dataset_key
0.1,112.36018957345972,94.0,101.59457633750085,0.44845737200768054,0.4864015631601183,0.18470961887477313,0.6781992320999114,422,3,gsm8k_qwen
0.2,93.04497041420119,71.0,94.54207473300768,0.40919503526821727,0.3728813559322034,0.12424242424242424,0.6621621621621622,845,3,gsm8k_qwen
0.3,74.53196527229676,52.0,82.47647511048667,0.35400510157796994,0.3137254901960784,0.09327140604647974,0.59014098590141,1267,3,gsm8k_qwen
0.4,60.05266272189349,40.0,65.64827524928413,0.3091946256660146,0.2268474400069306,0.0693649373881932,0.5,1690,3,gsm8k_qwen
0.5,43.062026515151516,24.0,52.04297318576686,0.2437085580839408,0.1453654552878726,0.04501777251184834,0.37523496240601506,2112,3,gsm8k_qwen
0.6,31.58405682715075,15.0,44.13674129432316,0.19230252001594464,0.09255180290422581,0.029926534140017287,0.2823529411764706,2534,3,gsm8k_qwen
0.7,23.045316198850188,10.0,32.87653257558073,0.1577680967420915,0.06976744186046512,0.021739130434782608,0.21568627450980393,2957,3,gsm8k_qwen
0.8,14.903225806451612,6.0,27.180005418256695,0.11450950761405643,0.03597122302158273,0.00849260728452939,0.12161172161172161,3379,3,gsm8k_qwen
0.9,9.288082083662195,2.0,21.540974032100202,0.0789016221353411,0.014925373134328358,0.0,0.06666666666666667,3801,3,gsm8k_qwen
0.1,133.84123222748815,116.5,119.09928912286448,0.480043600198177,0.5419662509170946,0.20668016194331984,0.7172024473515194,422,4,gsm8k_qwen
0.2,104.28639053254437,84.0,105.33724198264451,0.4239936212357284,0.43089430894308944,0.13071895424836602,0.6675191815856778,845,4,gsm8k_qwen
0.3,81.72612470402525,59.0,89.2968673425005,0.36866210678977873,0.31125827814569534,0.08856209150326798,0.6236888111888113,1267,4,gsm8k_qwen
0.4,62.19408284023669,37.0,68.39005923139423,0.3149152146688406,0.22866479925303454,0.0661764705882353,0.5331658291457286,1690,4,gsm8k_qwen
0.5,48.02982954545455,26.0,56.22113367375167,0.2648413847241256,0.15400641025641026,0.03968833015302878,0.4326576576576577,2112,4,gsm8k_qwen
0.6,35.65469613259668,15.0,46.531845563923795,0.21884210282044406,0.09116883116883118,0.019925373134328357,0.34018153425727116,2534,4,gsm8k_qwen
