dataset_key,sigma,alpha,accuracy_mean,accuracy_std
gsm8k_phi3,2.0,0.3,0.8773680649526387,0.0016327333937697505
gsm8k_phi3,2.0,0.4,0.8801203630623519,0.0031269217654390944
gsm8k_phi3,2.0,0.5,0.8822798295454547,0.0035074650544576445
gsm8k_phi3,2.0,0.6,0.8865748963883956,0.005025724116325211
gsm8k_phi3,2.0,0.7,0.8930741910023677,0.007267410564866452
gsm8k_phi3,2.0,0.8,0.9083827014218009,0.010669511869088917
gsm8k_phi3,2.0,0.9,0.9508886255924172,0.016725057378225473
gsm8k_qwen,0.0,0.1,0.9123914759273875,0.0019332989287949075
gsm8k_qwen,0.0,0.2,0.9345960343296833,0.00230761629945175
gsm8k_qwen,0.0,0.3,0.9483761840324763,0.004444943898689242
gsm8k_qwen,0.0,0.4,0.9619573796369376,0.002515765974823915
gsm8k_qwen,0.0,0.5,0.975189393939394,0.0026884601451854003
gsm8k_qwen,0.0,0.6,0.9828300769686205,0.002777037157977214
gsm8k_qwen,0.0,0.7,0.9905288082083663,0.0016555782922969386
gsm8k_qwen,0.0,0.8,0.996919431279621,0.0021975399278425837
gsm8k_qwen,0.0,0.9,0.9995260663507108,0.0009478672985781866
gsm8k_qwen,0.1,0.1,0.9129965798474086,0.0012337497800383325
gsm8k_qwen,0.1,0.2,0.9344998520272272,0.0023719070855373363
gsm8k_qwen,0.1,0.3,0.9491204330175915,0.004088981113237179
gsm8k_qwen,0.1,0.4,0.9615726124704025,0.002612860833485826
gsm8k_qwen,0.1,0.5,0.9740885416666666,0.002523112305252876
gsm8k_qwen,0.1,0.6,0.9824600355239788,0.00271722317209675
gsm8k_qwen,0.1,0.7,0.9901144435674822,0.001661915681866192
gsm8k_qwen,0.1,0.8,0.9958234597156398,0.002412599845295924
gsm8k_qwen,0.1,0.9,0.9994075829383886,0.0006754593750587538
gsm8k_qwen,0.25,0.1,0.9134504077874244,0.0011090755178284448
gsm8k_qwen,0.25,0.2,0.9344924533885764,0.0024920785264830794
gsm8k_qwen,0.25,0.3,0.9492980378890392,0.0036456092760440294
gsm8k_qwen,0.25,0.4,0.9618587213891082,0.0028767635309562456
gsm8k_qwen,0.25,0.5,0.9735913825757576,0.0031886489010045298
gsm8k_qwen,0.25,0.6,0.982667258732978,0.0023864201995600657
gsm8k_qwen,0.25,0.7,0.9899368587213893,0.0017922160738540428
