dataset_key,alpha,mean_achieved,std_achieved,mean_error
olympiadMath_qwen,0.2,0.21152263374485597,0.005157107868844594,0.011522633744855959
olympiadMath_qwen,0.25,0.2629012345679012,0.0033953189202994096,0.01290123456790121
olympiadMath_qwen,0.3,0.3124125514403292,0.006123097768967672,0.012412551440329211
olympiadMath_qwen,0.35,0.36149176954732515,0.004848545062090592,0.01149176954732517
olympiadMath_qwen,0.4,0.4139454732510289,0.004108739743745488,0.01394547325102885
olympiadMath_qwen,0.45,0.4615174897119342,0.0026957579248412583,0.01151748971193417
olympiadMath_qwen,0.5,0.5113117283950617,0.003915869510414193,0.011311728395061671
olympiadMath_qwen,0.55,0.5621553497942386,0.0023659531924001705,0.012155349794238601
olympiadMath_qwen,0.6,0.6112345679012344,0.0024086161715130457,0.011234567901234449
olympiadMath_qwen,0.65,0.6612139917695472,0.001446562057890739,0.011213991769547182
olympiadMath_qwen,0.7,0.7142232510288065,0.0010226151143859397,0.014223251028806505
olympiadMath_qwen,0.75,0.7644187242798354,0.0013938905520060063,0.014418724279835371
olympiadMath_qwen,0.8,0.8120833333333334,0.001203571798196329,0.012083333333333335
olympiadMath_qwen,0.85,0.8592026748971193,0.0022110606946097494,0.009202674897119345
olympiadMath_qwen,0.9,0.9063837448559671,0.002102921931093796,0.006383744855967044
olympiadMath_qwen,0.95,0.9478600823045268,0.00047659402559261456,-0.0021399176954731702
